Parti,Totale interaktioner,Reaktioner i alt,Kommentarer,Delinger,Antal sider,Owned Post Views,Owned Views from Shares,Owned Total Views,Views on Shared Posts,Views While Live,Video Time,Likes,Loves,Wows,Hahas,Sads,Angrys,Cares,Total Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Page Likes,Page Growth,Page Followers,Page Follower Growth,Day,Totale interaktioner per opslag,Kommentarer per opslag,Delinger per opslag,Videovisninger per videoopslag,Angry per opslag,Love per opslag,Reaktioner per opslag,Blok
Venstre,29894,26128,3077,689,617,39670,4192,43862,681,158,5,24462,556,42,702,39,255,72,246,15,10,0,942620,311,987943,254,20221008,122,13,3,2645,1,2,106,Blå blok
Alternativet,4669,3786,675,208,164,812,1553,2365,96,0,1,3009,429,34,237,26,31,20,68,2,3,0,256033,56,261924,49,20221009,69,10,3,406,0,6,56,Rød blok
Andet,1499,1089,291,119,115,35681,1068,36749,51,3591,2,879,123,4,58,0,19,6,22,3,1,0,195609,11,205383,-8,20221009,68,13,5,11894,1,6,50,Andet
Danmarksdemokraterne,20424,13228,5045,2151,34,67915,2620,70535,264,15559,3,9635,633,67,2578,25,251,39,60,7,2,0,300255,534,318466,449,20221009,340,84,36,9702,4,11,220,Blå blok
Dansk Folkeparti,19844,15579,2641,1624,157,157741,22128,179869,370,3831,2,13624,1416,41,239,35,81,143,76,7,15,0,561394,315,571073,189,20221009,261,35,21,22534,1,19,205,Blå blok
Enhedslisten,7419,6219,818,382,186,1796,670,2466,189,0,0,5510,571,11,62,20,15,30,89,4,7,1,517451,239,532915,219,20221009,83,9,4,449,0,6,70,Rød blok
Frie Grønne,3208,2438,542,228,10,8881,1917,10798,44,0,1,2111,175,6,100,6,27,13,9,3,1,0,32691,49,35586,53,20221009,356,60,25,2960,3,19,271,Rød blok
Konservative,17570,13895,3075,600,505,139905,7518,147423,321,68,8,12349,919,45,312,44,117,109,149,17,9,0,635032,476,669419,387,20221009,118,21,4,8230,1,6,93,Blå blok
Kristendemokraterne,1885,1611,204,70,41,2129,1361,3490,52,0,21,1557,32,3,15,1,2,1,34,13,4,0,64578,78,68074,73,20221009,55,6,2,164,0,1,47,Blå blok
Liberal Alliance,24158,20534,2074,1550,216,40016,2379,42395,255,0,0,19425,527,54,435,36,37,20,99,5,11,0,394571,894,424456,879,20221009,244,21,16,8003,0,5,207,Blå blok
Løsgænger,1271,1002,240,29,4,0,0,0,0,0,0,912,78,6,4,0,0,2,2,0,0,0,112511,2,140722,-17,20221009,636,120,15,0,0,39,501,Andet
Moderaterne,3197,2748,359,90,40,19444,825,20269,0,209,2,2621,75,2,23,1,18,8,34,9,0,0,232039,300,234002,285,20221009,94,11,3,2160,1,2,81,Blå blok
Nye Borgerlige,30592,23830,3832,2930,138,33542,5979,39521,215,0,4,22052,573,46,598,95,395,71,93,3,4,1,628216,321,732372,264,20221009,329,41,32,11181,4,6,256,Blå blok
Radikale Venstre,7488,5954,1184,350,255,34628,2288,36916,344,0,3,4558,310,84,130,481,224,167,83,5,3,1,642519,180,668448,160,20221009,90,14,4,6926,3,4,72,Rød blok
Socialdemokratiet,63202,52788,9086,1328,577,129044,9522,138566,614,234,5,46150,3815,84,1988,53,330,368,195,17,11,0,1616726,626,1730760,569,20221009,324,47,7,7591,2,20,271,Rød blok
Socialistisk Folkeparti,25392,20686,3061,1645,346,18709,1250,19959,387,0,2,17439,2137,49,305,171,327,258,115,9,6,0,693605,360,712982,349,20221009,221,27,14,2079,3,19,180,Rød blok
Venstre,33044,28704,3593,747,617,111871,11026,122897,606,37,11,27050,786,28,602,15,139,84,203,17,11,0,943240,620,988561,618,20221009,163,18,4,6581,1,4,141,Blå blok
Alternativet,5875,5017,608,250,164,962,234,1196,43,0,5,3903,1003,19,35,25,12,20,84,6,4,0,256164,131,262052,128,20221010,70,7,3,160,0,12,60,Rød blok
Andet,1445,974,201,270,115,1355,0,1355,0,0,3,668,73,26,14,14,174,5,20,1,0,0,195630,21,205398,15,20221010,72,10,14,1355,9,4,49,Andet
Danmarksdemokraterne,22033,17994,3675,364,34,53980,3702,57682,159,0,2,13070,521,168,3032,115,385,703,47,5,1,0,300588,333,318822,356,20221010,469,78,8,10796,8,11,383,Blå blok
Dansk Folkeparti,6424,4842,903,679,157,828,460,1288,369,0,0,4224,500,4,24,0,53,37,51,2,6,0,561582,188,571303,230,20221010,126,18,13,414,1,10,95,Blå blok
Enhedslisten,18855,15659,2388,808,186,3098,1512,4610,332,7,4,13788,1486,17,199,6,67,96,139,4,10,0,517632,181,533100,185,20221010,136,17,6,775,0,11,113,Rød blok
Frie Grønne,963,740,169,54,10,3705,644,4349,58,0,0,640,54,0,41,1,1,3,8,2,1,0,32741,50,35631,45,20221010,120,21,7,1853,0,7,93,Rød blok
Konservative,19732,15518,3582,632,505,277444,3654,281098,114,227,8,13653,628,70,830,52,238,47,169,17,9,0,635478,446,669880,461,20221010,117,21,4,16320,1,4,92,Blå blok
Kristendemokraterne,856,706,98,52,41,829,107,936,4,0,0,620,11,4,57,0,9,5,25,2,2,0,64629,51,68124,50,20221010,34,4,2,415,0,0,28,Blå blok
Liberal Alliance,11815,10360,1028,427,216,9498,1276,10774,510,0,5,8490,253,26,1425,10,145,11,88,5,7,0,395375,804,425252,796,20221010,134,12,5,1900,2,3,118,Blå blok
Løsgænger,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112509,-2,140717,-5,20221010,0,0,0,0,0,0,0,Andet
Moderaterne,1136,939,119,78,40,872,346,1218,13,0,0,806,23,4,71,7,20,8,33,3,1,0,232281,242,234258,256,20221010,34,4,2,291,1,1,28,Blå blok
Nye Borgerlige,36840,28980,2966,4894,138,145082,65224,210306,27,2302,7,25008,708,97,2747,53,319,48,78,8,1,0,628538,322,732333,-39,20221010,472,38,63,18135,4,9,372,Blå blok
Radikale Venstre,4129,3372,578,179,255,4080,526,4606,28,0,4,3038,245,5,39,6,13,26,101,9,4,0,642647,128,668577,129,20221010,41,6,2,453,0,2,33,Rød blok
Socialdemokratiet,52360,42733,8079,1548,577,47968,4667,52635,522,164,2,37021,2431,93,1302,329,404,1153,210,16,16,0,1617255,529,1731313,553,20221010,249,38,7,2998,2,12,203,Rød blok
Socialistisk Folkeparti,37130,31450,4586,1094,346,43695,19131,62826,171,0,6,24958,2854,43,2318,295,208,774,116,11,6,1,694139,534,713503,521,20221010,320,40,9,3972,2,25,271,Rød blok
Venstre,26691,19284,5882,1525,617,108240,4625,112865,538,0,8,17011,359,69,1258,47,458,82,184,12,6,2,943872,632,989212,651,20221010,145,32,8,9020,2,2,105,Blå blok
Alternativet,4877,4195,384,298,164,1336,344,1680,122,0,1,3410,694,6,33,23,9,20,65,2,6,1,256345,181,262225,173,20221011,75,6,5,668,0,11,65,Rød blok
Andet,885,811,34,40,115,142,0,142,28,0,0,712,88,2,1,2,1,5,21,1,1,0,195640,10,205405,7,20221011,42,2,2,142,0,4,39,Andet
Danmarksdemokraterne,33168,28949,3821,398,34,22973,3132,26105,0,378,0,13797,741,111,5077,1416,117,7690,48,7,0,0,300991,403,319259,431,20221011,691,80,8,3282,2,15,603,Blå blok
Dansk Folkeparti,12884,9553,1720,1611,157,129233,6336,135569,141,0,6,8373,655,16,216,16,89,188,84,8,4,1,561761,179,571512,209,20221011,153,20,19,16154,1,8,114,Blå blok
Enhedslisten,11439,9405,1609,425,186,9465,745,10210,330,370,2,7913,778,19,505,16,135,39,119,5,11,3,517857,225,533323,223,20221011,96,14,4,1893,1,7,79,Rød blok
Frie Grønne,2990,1715,1107,168,10,7586,2035,9621,66,0,0,1363,140,11,150,7,31,13,7,2,2,0,32794,53,35684,53,20221011,427,158,24,3793,4,20,245,Rød blok
Konservative,20765,17292,2800,673,505,72435,3159,75594,93,225,16,15375,1000,27,511,53,191,135,190,19,7,0,635829,351,670224,344,20221011,109,15,4,3812,1,5,91,Blå blok
Kristendemokraterne,1033,819,131,83,41,269,6,275,11,43,3,788,15,0,12,2,2,0,22,2,1,0,64665,36,68162,38,20221011,47,6,4,135,0,1,37,Blå blok
Liberal Alliance,14217,12495,1189,533,216,86487,6914,93401,1292,0,4,11699,513,11,187,8,65,12,89,5,18,0,395907,532,425764,512,20221011,160,13,6,17297,1,6,140,Blå blok
Løsgænger,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112511,2,140712,-5,20221011,0,0,0,0,0,0,0,Andet
Moderaterne,4604,3433,946,225,40,15624,2890,18514,788,78,2,3269,95,5,25,4,13,22,36,8,1,0,232541,260,234531,273,20221011,128,26,6,1953,0,3,95,Blå blok
Nye Borgerlige,25386,20965,3072,1349,138,25161,3855,29016,1907,2054,0,19654,799,23,160,12,275,42,78,2,8,1,628846,308,732604,271,20221011,325,39,17,12581,4,10,269,Blå blok
Radikale Venstre,7903,6331,1330,242,255,12068,281,12349,77,0,1,5098,718,32,168,85,191,39,111,6,3,1,642761,114,668671,94,20221011,71,12,2,2011,2,6,57,Rød blok
Socialdemokratiet,49107,40530,7061,1516,577,113105,7973,121078,1467,279,11,35096,2829,69,1477,64,503,492,266,15,4,1,1617694,439,1731721,408,20221011,185,27,6,7540,2,11,152,Rød blok
Socialistisk Folkeparti,21337,17020,3342,975,346,163429,7198,170627,212,20,4,14193,1709,36,343,82,129,528,121,11,4,0,694689,550,714036,533,20221011,176,28,8,14857,1,14,141,Rød blok
Venstre,25884,20145,4212,1527,617,48377,6762,55139,1054,0,29,18607,456,48,416,168,412,38,222,21,13,1,944430,558,989746,534,20221011,117,19,7,2304,2,2,91,Blå blok
Alternativet,8005,6165,1376,464,164,6339,3251,9590,791,852,13,4670,1032,31,296,54,54,28,84,7,10,3,256520,175,262426,201,20221012,95,16,6,906,1,12,73,Rød blok
Andet,989,851,68,70,115,951,423,1374,0,0,8,753,65,1,5,14,1,12,23,4,0,0,195677,37,205437,32,20221012,43,3,3,238,0,3,37,Andet
Danmarksdemokraterne,2755,2220,414,121,34,4162,235,4397,172,0,0,1998,168,4,37,1,7,5,42,4,2,0,301277,251,319570,311,20221012,66,10,3,1041,0,4,53,Blå blok
Dansk Folkeparti,18046,13408,3311,1327,157,251032,16488,267520,116,0,2,11906,877,21,237,54,215,98,58,3,3,0,561932,171,571697,185,20221012,311,57,23,83677,4,15,231,Blå blok
Enhedslisten,12722,10966,1243,513,186,4370,1113,5483,525,2,1,8897,1459,12,339,10,137,112,116,3,14,0,518066,209,533540,217,20221012,110,11,4,1457,1,13,95,Rød blok
Frie Grønne,910,638,161,111,10,8249,1201,9450,0,0,1,561,28,0,28,9,8,4,7,4,0,0,32863,69,35755,71,20221012,130,23,16,2062,1,4,91,Rød blok
Konservative,24373,19105,4537,731,505,139996,3338,143334,211,0,20,16967,920,52,714,22,245,185,175,17,7,0,636232,403,670621,397,20221012,139,26,4,8235,1,5,109,Blå blok
Kristendemokraterne,1566,1126,289,151,41,9009,4627,13636,2027,0,19,1014,34,2,36,8,21,11,53,11,9,0,64735,70,68231,69,20221012,30,5,3,819,0,1,21,Blå blok
Liberal Alliance,17425,15491,1639,295,216,99131,1563,100694,118,0,2,14340,950,69,72,16,27,17,89,8,8,0,396728,821,426597,833,20221012,196,18,3,12391,0,11,174,Blå blok
Løsgænger,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112510,-1,140709,-3,20221012,0,0,0,0,0,0,0,Andet
Moderaterne,2052,1699,259,94,40,5685,1769,7454,0,55,8,1554,86,3,20,2,14,20,38,10,0,0,232719,178,234721,190,20221012,54,7,2,569,0,2,45,Blå blok
Nye Borgerlige,22539,18921,1987,1631,138,44686,11984,56670,577,12,13,17476,698,34,440,28,197,48,88,7,11,0,629151,305,732914,310,20221012,256,23,19,6384,2,8,215,Blå blok
Radikale Venstre,7899,6569,1118,212,255,730,167,897,0,0,9,5614,654,5,137,7,107,45,105,5,0,2,642885,124,668792,121,20221012,75,11,2,146,1,6,63,Rød blok
Socialdemokratiet,55213,45847,7761,1605,577,611700,16001,627701,1506,0,19,39511,3939,61,1341,77,425,493,199,13,9,0,1618207,513,1732239,518,20221012,277,39,8,47054,2,20,230,Rød blok
Socialistisk Folkeparti,28611,24243,3562,806,346,11903,929,12832,136,3,3,20650,1862,47,505,110,257,812,129,5,5,0,695227,538,714584,548,20221012,222,28,6,2381,2,14,188,Rød blok
Venstre,28848,21239,6704,905,617,188710,9847,198557,804,81,6,17636,269,73,2452,44,715,50,216,17,11,3,944999,569,990315,569,20221012,134,31,4,11101,3,1,98,Blå blok
Alternativet,8325,7047,916,362,164,2220,122,2342,61,0,1,5493,1305,13,145,35,26,30,98,2,2,3,256669,149,262579,153,20221013,85,9,4,1110,0,13,72,Rød blok
Andet,1760,1335,112,313,115,396,0,396,0,0,1,1160,126,10,4,1,27,7,28,3,0,0,195704,27,205461,24,20221013,63,4,11,132,1,5,48,Andet
Danmarksdemokraterne,10933,9251,1336,346,34,26581,2812,29393,69,0,4,8508,431,10,177,5,53,67,60,7,2,0,301459,182,319755,185,20221013,182,22,6,3797,1,7,154,Blå blok
Dansk Folkeparti,7532,5673,1049,810,157,24634,4745,29379,31,0,2,5119,385,20,47,22,58,22,65,5,2,0,562083,151,571817,120,20221013,116,16,12,4927,1,6,87,Blå blok
Enhedslisten,13045,10490,1616,939,186,8031,1133,9164,259,1,11,8878,1240,20,111,72,63,106,99,10,8,0,518403,337,533888,348,20221013,132,16,9,803,1,13,106,Rød blok
Frie Grønne,1136,844,194,98,10,5371,442,5813,82,0,1,710,71,1,50,0,7,5,11,2,2,0,32909,46,35800,45,20221013,103,18,9,2686,1,6,77,Rød blok
Konservative,38126,29060,7679,1387,505,102569,3524,106093,197,326,18,25783,839,151,1436,54,587,210,184,25,8,1,636572,340,670956,335,20221013,207,42,8,4103,3,5,158,Blå blok
Kristendemokraterne,1053,813,193,47,41,1205,32,1237,44,0,4,708,53,4,29,4,4,11,38,4,2,0,64793,58,68289,58,20221013,28,5,1,301,0,1,21,Blå blok
Liberal Alliance,13226,11522,1265,439,216,12203,188,12391,25,0,6,11016,280,30,122,5,63,6,78,6,3,0,397536,808,427404,807,20221013,170,16,6,2034,1,4,148,Blå blok
Løsgænger,988,884,91,13,4,0,0,0,0,0,0,853,16,1,7,0,4,3,1,0,0,0,112501,-9,140697,-12,20221013,988,91,13,0,4,16,884,Andet
Moderaterne,4080,3385,580,115,40,2436,594,3030,81,133,3,3283,42,7,39,4,5,5,30,9,1,0,232862,143,234878,157,20221013,136,19,4,271,0,1,113,Blå blok
Nye Borgerlige,33960,29061,3301,1598,138,23705,3443,27148,90,1928,14,27719,812,46,221,13,128,122,78,8,1,2,629539,388,733323,409,20221013,435,42,20,2963,2,10,373,Blå blok
Radikale Venstre,6537,5394,925,218,255,71974,3733,75707,222,0,4,4354,430,65,291,93,132,29,113,11,10,1,642998,113,668907,115,20221013,58,8,2,6543,1,4,48,Rød blok
Socialdemokratiet,42175,35431,5016,1728,577,120907,8516,129423,418,141,19,31351,2349,71,843,51,252,514,232,25,16,0,1618668,461,1732670,431,20221013,182,22,7,4836,1,10,153,Rød blok
Socialistisk Folkeparti,25158,21661,2745,752,346,73746,1354,75100,176,0,0,18356,2418,19,152,29,59,628,109,8,7,0,695673,446,715030,446,20221013,231,25,7,9218,1,22,199,Rød blok
Venstre,27679,21978,4642,1059,617,35664,5862,41526,792,323,6,19823,348,59,1431,26,234,57,209,15,9,1,945533,534,990842,527,20221013,132,22,5,2378,1,2,105,Blå blok
Alternativet,4615,3673,714,228,164,4868,438,5306,225,839,2,2988,574,14,49,7,17,24,89,4,12,4,256790,121,262704,125,20221014,52,8,3,1217,0,6,41,Rød blok
Andet,2080,1462,406,212,115,50155,2989,53144,0,1804,8,1214,179,5,23,6,16,19,29,4,0,0,195711,7,205484,23,20221014,72,14,7,12539,1,6,50,Andet
Danmarksdemokraterne,4818,4223,394,201,34,1276,102,1378,91,0,1,3838,269,8,27,2,42,37,37,3,1,0,301566,107,319862,107,20221014,130,11,5,425,1,7,114,Blå blok
Dansk Folkeparti,10250,7873,1368,1009,157,41945,4983,46928,147,20,2,6898,271,23,178,135,322,46,68,4,4,0,562145,62,571887,70,20221014,151,20,15,10486,5,4,116,Blå blok
Enhedslisten,11594,8812,1849,933,186,12716,2489,15205,147,0,2,7570,804,22,199,51,114,52,133,4,9,5,518600,197,534119,231,20221014,87,14,7,3179,1,6,66,Rød blok
Frie Grønne,972,686,186,100,10,7153,1188,8341,25,0,27,538,30,44,48,8,16,2,6,3,1,0,32954,45,35845,45,20221014,162,31,17,2384,3,5,114,Rød blok
Konservative,25232,20121,4426,685,505,39190,2206,41396,289,0,7,17200,1452,74,847,58,281,209,161,10,5,1,636857,285,671253,297,20221014,157,27,4,3919,2,9,125,Blå blok
Kristendemokraterne,649,485,96,68,41,881,712,1593,63,0,2,435,10,0,21,2,11,6,31,4,3,0,64826,33,68324,35,20221014,21,3,2,220,0,0,16,Blå blok
Liberal Alliance,21763,18011,2270,1482,216,144486,29254,173740,392,0,5,17336,385,50,116,14,83,27,71,5,5,3,398332,796,428216,812,20221014,307,32,21,28897,1,5,254,Blå blok
Løsgænger,15,13,2,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,112490,-11,140686,-11,20221014,15,2,0,0,0,0,13,Andet
Moderaterne,4044,3043,819,182,40,7886,788,8674,0,181,1,2893,87,7,38,3,6,9,35,6,0,0,233094,232,235123,245,20221014,116,23,5,1314,0,2,87,Blå blok
Nye Borgerlige,25557,21902,2545,1110,138,18901,3986,22887,665,0,3,20879,517,19,233,20,189,45,70,7,4,2,629820,281,733618,295,20221014,365,36,16,2700,3,7,313,Blå blok
Radikale Venstre,9387,6691,1240,1456,255,18812,2232,21044,50,30,6,5703,497,15,386,8,34,48,100,10,4,1,643040,42,668966,59,20221014,94,12,15,1881,0,5,67,Rød blok
Socialdemokratiet,49490,41949,6087,1454,577,106144,2902,109046,1204,257,7,36800,3212,119,1100,49,266,403,205,16,10,0,1619088,420,1733099,429,20221014,241,30,7,6634,1,16,205,Rød blok
Socialistisk Folkeparti,61024,46834,3577,10613,346,112055,20761,132816,0,95,3,35323,6683,58,328,175,91,4176,111,8,0,0,696364,691,715719,689,20221014,550,32,96,14007,1,60,422,Rød blok
Venstre,23911,17268,5459,1184,617,297742,8361,306103,765,0,14,14412,306,79,1547,34,840,50,188,18,11,0,945860,295,991211,336,20221014,127,29,6,16541,4,2,92,Blå blok
Alternativet,6364,5411,656,297,164,1709,1946,3655,13,14,3,4590,716,7,46,2,18,32,70,6,1,3,256925,135,262741,129,20221015,91,9,4,285,0,10,77,Rød blok
Andet,175,140,21,14,115,52,0,52,0,0,0,133,6,0,0,0,0,1,17,1,0,1,195743,32,205518,34,20221015,10,1,1,52,0,0,8,Andet
Danmarksdemokraterne,10607,9146,1059,402,34,86344,11304,97648,698,0,3,8060,658,9,88,6,67,258,47,5,7,0,301693,127,320004,142,20221015,226,23,9,17269,1,14,195,Blå blok
Dansk Folkeparti,9487,6960,1669,858,157,36542,5677,42219,448,2991,3,6246,524,18,53,28,43,48,64,10,7,0,562293,148,572019,132,20221015,148,26,13,3654,1,8,109,Blå blok
Enhedslisten,9548,7600,1402,546,186,190,283,473,510,0,2,6691,721,10,116,8,23,31,105,4,8,0,518834,234,534317,198,20221015,91,13,5,48,0,7,72,Rød blok
Frie Grønne,2105,1766,277,62,10,1677,24,1701,14,0,0,1573,154,1,27,0,3,8,10,1,1,0,33002,48,35892,47,20221015,211,28,6,1677,0,15,177,Rød blok
Konservative,20437,16489,3062,886,505,169141,7786,176927,2340,35,8,14729,760,33,569,23,263,112,166,22,14,1,637107,250,671499,246,20221015,123,18,5,7688,2,5,99,Blå blok
Kristendemokraterne,930,623,198,109,41,3277,3528,6805,134,158,4,531,33,2,6,4,0,47,26,3,2,1,64857,31,68358,34,20221015,36,8,4,1092,0,1,24,Blå blok
Liberal Alliance,18563,15478,1835,1250,216,197369,29475,226844,15366,0,1,14815,270,32,220,16,117,8,99,6,31,1,398928,596,428803,587,20221015,188,19,13,32895,1,3,156,Blå blok
Løsgænger,324,266,56,2,4,4430,1,4431,0,0,0,252,12,0,1,0,1,0,2,1,0,0,112493,3,140682,-4,20221015,162,28,1,4430,1,6,133,Andet
Moderaterne,1676,1390,225,61,40,2673,1223,3896,20,145,6,1087,61,8,174,0,51,9,26,6,1,0,233351,257,235381,258,20221015,64,9,2,446,2,2,53,Blå blok
Nye Borgerlige,19476,16199,1895,1382,138,138749,8289,147038,121,1479,10,14731,1017,50,173,16,176,36,72,13,5,0,630091,271,733870,252,20221015,271,26,19,10673,2,14,225,Blå blok
Radikale Venstre,4835,4365,393,77,255,6826,355,7181,63,25,3,3696,537,16,38,23,24,31,95,7,6,0,643116,76,669022,56,20221015,51,4,1,975,0,6,46,Rød blok
Socialdemokratiet,37507,32068,4424,1015,577,200833,7093,207926,1623,0,8,28929,1778,42,693,67,282,277,228,24,10,0,1619517,429,1733486,387,20221015,165,19,4,8368,1,8,141,Rød blok
Socialistisk Folkeparti,35307,27235,7443,629,346,169917,1596,171513,919,0,0,21124,4157,38,211,121,105,1479,99,5,8,0,696946,582,716270,551,20221015,357,75,6,33983,1,42,275,Rød blok
Venstre,14862,12074,2212,576,617,50039,11460,61499,874,0,3,10858,285,19,304,180,94,334,160,15,8,1,946203,343,991250,334,20221015,93,14,4,3336,1,2,75,Blå blok
Alternativet,7041,5551,1061,429,164,613,696,1309,99,0,4,4301,827,10,84,149,14,166,80,3,5,2,257082,132,263005,133,20221016,88,13,5,204,0,10,69,Rød blok
Andet,765,669,30,66,115,94,88,182,390,0,6,591,68,0,2,0,1,7,22,1,3,0,195787,44,205563,45,20221016,35,1,3,94,0,3,30,Andet
Danmarksdemokraterne,23488,17016,4826,1646,34,4002,565,4567,71,0,2,15427,778,36,391,30,279,75,62,4,2,0,302026,333,320348,344,20221016,379,78,27,1001,5,13,274,Blå blok
Dansk Folkeparti,12916,9825,1568,1523,157,120181,16547,136728,2099,10,4,8738,748,29,120,26,85,79,79,7,10,0,562378,85,572112,93,20221016,163,20,19,17169,1,9,124,Blå blok
Enhedslisten,7288,5883,762,643,186,23448,1483,24931,422,0,6,5149,552,28,61,20,36,37,107,10,10,5,519014,180,534492,175,20221016,68,7,6,2345,0,5,55,Rød blok
Frie Grønne,1396,1114,207,75,10,4903,656,5559,0,0,0,980,76,5,35,0,10,8,12,3,0,0,33029,27,35915,23,20221016,116,17,6,1634,1,6,93,Rød blok
Konservative,26059,20943,4292,824,505,55212,1166,56378,238,100,6,17904,1028,43,1417,27,426,98,177,12,6,1,637407,300,671780,281,20221016,147,24,5,4601,2,6,118,Blå blok
Kristendemokraterne,1115,820,125,170,41,5144,4337,9481,561,0,11,761,42,2,11,0,0,4,33,4,8,0,64883,26,68382,24,20221016,34,4,5,1286,0,1,25,Blå blok
Liberal Alliance,16413,14300,1172,941,216,122988,37009,159997,1881,0,8,12158,1165,15,828,9,19,106,80,9,22,0,399723,795,429611,808,20221016,205,15,12,13665,0,15,179,Blå blok
Løsgænger,326,252,65,9,4,0,0,0,0,0,0,244,5,0,2,0,0,1,2,0,0,0,112488,-5,140674,-8,20221016,163,33,5,0,0,3,126,Andet
Moderaterne,2618,2048,468,102,40,2595,669,3264,0,284,1,1936,74,5,16,0,11,6,23,5,0,0,233852,501,235899,518,20221016,114,20,4,519,0,3,89,Blå blok
Nye Borgerlige,33609,26432,4592,2585,138,31153,9973,41126,565,4863,2,23720,1711,52,300,166,252,231,75,6,3,0,630301,210,734061,191,20221016,448,61,34,5192,3,23,352,Blå blok
Radikale Venstre,4947,3925,794,228,255,85061,5810,90871,630,123,6,3419,229,20,173,13,19,52,104,12,7,2,643191,75,669072,50,20221016,48,8,2,7088,0,2,38,Rød blok
Socialdemokratiet,40738,33045,6558,1135,577,19714,2462,22176,494,188,6,29401,2030,46,784,45,481,258,187,15,8,1,1619912,395,1733845,359,20221016,218,35,6,1314,3,11,177,Rød blok
Socialistisk Folkeparti,26463,22392,3633,438,346,1893,451,2344,123,0,3,17226,3774,36,296,110,108,842,88,3,3,1,697556,610,716859,589,20221016,301,41,5,631,1,43,254,Rød blok
Venstre,19963,16338,3090,535,617,291206,4380,295586,847,80,5,14780,371,27,934,33,159,34,187,21,18,1,946745,542,992071,524,20221016,107,17,3,13867,1,2,87,Blå blok
